addressLine1,city,state,zipCode,formattedAddress,squareFootage,yearBuilt,bathrooms,bedrooms,lotSize,propertyType,longitude,latitude
1123 Patton Way,Mcdonough,GA,30252,"1123 Patton Way, Mcdonough, GA 30252",1873.0,2001.0,2.5,3.0,3658.0,Single Family,-83.995807,33.446412
4100 N Hamlin Ave,Chicago,IL,60618,"4100 N Hamlin Ave, Apt 3, Chicago, IL 60618",1200.0,1923.0,2.0,2.0,9421.0,Condo,-87.723131,41.955742
5027 E Adams St,Tucson,AZ,85712,"5027 E Adams St, Tucson, AZ 85712",955.0,1973.0,2.0,2.0,3006.0,Townhouse,-110.885703,32.240985
9401 Clubhouse Dr,Foley,AL,36535,"9401 Clubhouse Dr, Foley, AL 36535",2356.0,1994.0,2.0,3.0,17860.0,Single Family,-87.641895,30.362044
1821 Hatherly Dr,Plano,TX,75023,"1821 Hatherly Dr, Plano, TX 75023",2299.0,1979.0,2.0,4.0,0.0,Single Family,-96.726308,33.055446
200 Throop Ave,Brooklyn,NY,11206,"200 Throop Ave, Apt 13C, Brooklyn, NY 11206",0.0,0.0,0.0,0.0,0.0,Unknown,-73.943882,40.697831
11303 E Jackson Ave,Spokane Valley,WA,99206,"11303 E Jackson Ave, Spc 57, Spokane Valley, WA 99206",1512.0,2001.0,2.0,0.0,0.0,Manufactured,-117.254045,47.681814
601 S Federal Hwy,Fort Lauderdale,FL,33301,"601 S Federal Hwy, Fort Lauderdale, FL 33301",0.0,0.0,0.0,0.0,0.0,Unknown,-80.137414,26.11466
1414 Fuselage Ave,Middle River,MD,21220,"1414 Fuselage Ave, Ste 7, Middle River, MD 21220",0.0,0.0,0.0,0.0,0.0,Unknown,-76.445427,39.331696
395 W Tippets Ln,Duck Creek Village,UT,84762,"395 W Tippets Ln, Lot 164, Duck Creek Village, UT 84762",0.0,0.0,0.0,0.0,25265.0,Land,-112.65858,37.624455
746 Patriots Point St,Locust Grove,GA,30248,"746 Patriots Point St, Locust Grove, GA 30248",1802.0,2004.0,2.5,4.0,935.0,Single Family,-84.118333,33.347507
1019 Katy Ln,Alexander,AR,72002,"1019 Katy Ln, Alexander, AR 72002",1774.0,2007.0,2.0,3.0,12690.0,Single Family,-92.419932,34.622208
968 Buckthorn Trl,Melbourne,FL,32940,"968 Buckthorn Trl, Melbourne, FL 32940",2357.0,0.0,3.0,4.0,0.0,Single Family,-80.718272,28.218784
401 Vineyard Rd,Griffin,GA,30223,"401 Vineyard Rd, Griffin, GA 30223",1312.0,1961.0,1.5,2.0,71003.0,Single Family,-84.297055,33.295845
1703 S Broad St,Philadelphia,PA,19148,"1703 S Broad St, Ste 209, Philadelphia, PA 19148",0.0,0.0,0.0,0.0,0.0,Unknown,-75.168478,39.9291
1308 Bear Creek Dr,Rocklin,CA,95765,"1308 Bear Creek Dr, Rocklin, CA 95765",0.0,0.0,0.0,0.0,0.0,Unknown,-121.256169,38.83693
17131 72nd Ave N,Maple Grove,MN,55311,"17131 72nd Ave N, Maple Grove, MN 55311",1907.0,2008.0,3.0,3.0,0.0,Single Family,-93.497246,45.085331
1804 Hermitage Dr,Las Vegas,NV,89108,"1804 Hermitage Dr, Las Vegas, NV 89108",2511.0,1979.0,3.0,6.0,6970.0,Single Family,-115.228792,36.191686
1624 Woodruff Rd,Greenville,SC,29607,"1624 Woodruff Rd, Ste 4, Greenville, SC 29607",0.0,0.0,0.0,0.0,0.0,Unknown,-82.274726,34.819341
45 Scotland St,Ocean Isle Beach,NC,28469,"45 Scotland St, Ocean Isle Beach, NC 28469",1736.0,1979.0,2.0,4.0,0.0,Single Family,-78.42895,33.894099
909 Jonathan Ct,Weatherford,TX,76086,"909 Jonathan Ct, Weatherford, TX 76086",2257.0,1996.0,2.0,3.0,4966.0,Single Family,-97.781987,32.737
1018 W Walker St,Denison,TX,75020,"1018 W Walker St, Denison, TX 75020",1650.0,1928.0,3.0,3.0,7501.0,Single Family,-96.549876,33.761831
6060 Washington Ave,Berkeley,MO,63134,"6060 Washington Ave, Berkeley, MO 63134",960.0,1954.0,1.0,2.0,5502.0,Single Family,-90.329533,38.747567
6775 Calusa Ave,Cocoa,FL,32927,"6775 Calusa Ave, Cocoa, FL 32927",2525.0,1988.0,2.0,3.0,10454.0,Single Family,-80.800258,28.477696
190 Eagle Feather St,Mount Washington,KY,40047,"190 Eagle Feather St, Mount Washington, KY 40047",1238.0,2012.0,0.0,0.0,10454.0,Single Family,-85.514668,38.055529
4 Fossa Ave Unit D,Nashua,NH,3060,"4 Fossa Ave Unit D, Nashua, NH 03060",995.0,0.0,0.0,1.0,0.0,Apartment,-71.460545,42.748843
591 Briarwood Dr,Gladewater,TX,75647,"591 Briarwood Dr, Gladewater, TX 75647",2503.0,2007.0,3.0,4.0,12632.0,Single Family,-94.93859,32.539147
720 3rd Ave,New Cumberland,WV,26047,"720 3rd Ave, Apt 106, New Cumberland, WV 26047",0.0,0.0,0.0,0.0,0.0,Unknown,-80.602334,40.495545
2003 Costa Del Mar Rd,Carlsbad,CA,92009,"2003 Costa Del Mar Rd, Unit 667, Carlsbad, CA 92009",791.0,1970.0,1.5,1.0,61380.0,Condo,-117.267212,33.089798
4616 Matthews Mint Hill Rd,Matthews,NC,28105,"4616 Matthews Mint Hill Rd, Matthews, NC 28105",1549.0,1964.0,2.0,3.0,29621.0,Single Family,-80.678646,35.151798
117 Old Maple Ct,Essex,MD,21221,"117 Old Maple Ct, Essex, MD 21221",1548.0,1980.0,2.0,0.0,6379.0,Single Family,-76.467408,39.331666
4013 Stratford Rd,Youngstown,OH,44512,"4013 Stratford Rd, Youngstown, OH 44512",2140.0,1956.0,2.0,3.0,18600.0,Single Family,-80.670208,41.059254
1030 N Earls Ct,Palatine,IL,60067,"1030 N Earls Ct, Palatine, IL 60067",1876.0,2001.0,2.5,2.0,2373.0,Single Family,-88.083115,42.129344
237 Falcon Ln,Kempner,TX,76539,"237 Falcon Ln, Kempner, TX 76539",2153.0,1979.0,0.0,0.0,30013.0,Single Family,-97.948087,31.062812
3108 Rex Dr,York,PA,17402,"3108 Rex Dr, York, PA 17402",4291.0,2005.0,3.5,5.0,17227.0,Single Family,-76.661211,39.969891
1110 W 15th 1/2 St,Houston,TX,77008,"1110 W 15th 1/2 St, Houston, TX 77008",2308.0,2015.0,3.5,3.0,1877.0,Single Family,-95.418604,29.798497
8911 S 67th St,Papillion,NE,68133,"8911 S 67th St, Papillion, NE 68133",1370.0,2008.0,2.0,3.0,7680.0,Single Family,-96.015584,41.169902
3798 Glenford Dr,Clermont,FL,34711,"3798 Glenford Dr, Clermont, FL 34711",1707.0,2001.0,2.0,3.0,9138.0,Single Family,-81.703893,28.510799
5944 King Lear Dr,Indianapolis,IN,46254,"5944 King Lear Dr, Indianapolis, IN 46254",1438.0,1992.0,1.0,3.0,5271.0,Single Family,-86.265934,39.86626
132 Tara Trace Cir,Gun Barrel City,TX,75156,"132 Tara Trace Cir, Gun Barrel City, TX 75156",840.0,1972.0,0.0,0.0,0.0,Manufactured,-96.143084,32.320041
33713 Fairview Dr,Yucaipa,CA,92399,"33713 Fairview Dr, Yucaipa, CA 92399",1215.0,1963.0,2.0,3.0,7954.0,Single Family,-117.069051,34.022192
3106 Dove Cove Cir,Humble,TX,77396,"3106 Dove Cove Cir, Humble, TX 77396",1668.0,2014.0,2.0,3.0,7083.0,Single Family,-95.272084,29.957169
5835 Lori Ln,Indian River,MI,49749,"5835 Lori Ln, Indian River, MI 49749",1548.0,0.0,2.0,3.0,12000.0,Single Family,-84.605977,45.42129
3257 State Hwy,Kilgore,TX,75662,"3257 State Hwy, 31 W, Kilgore, TX 75662",968.0,1941.0,1.0,0.0,46174.0,Single Family,-94.848154,32.412593
3616 Barham Blvd,Los Angeles,CA,90068,"3616 Barham Blvd, Apt X102, Los Angeles, CA 90068",0.0,0.0,0.0,0.0,0.0,Unknown,-118.341631,34.138865
17 Vista Chalet Dr,Ellijay,GA,30540,"17 Vista Chalet Dr, Ellijay, GA 30540",1596.0,2009.0,2.0,3.0,0.0,Single Family,-84.5237,34.654458
PO Box 2591,Hazard,KY,41702,"PO Box 2591, Hazard, KY 41702",0.0,0.0,0.0,0.0,0.0,Unknown,-83.1954,37.2484
1006 9th St NW,Cedar Rapids,IA,52405,"1006 9th St NW, Cedar Rapids, IA 52405",1073.0,1900.0,1.0,3.0,6534.0,Single Family,-91.68483,41.981962
322 S Mahon Ave,Tyler,TX,75702,"322 S Mahon Ave, Tyler, TX 75702",888.0,1932.0,1.0,0.0,8939.0,Single Family,-95.281886,32.347187
31495 Sierra Linda St,Yucaipa,CA,92399,"31495 Sierra Linda St, Yucaipa, CA 92399",2527.0,1952.0,3.0,3.0,16268.0,Single Family,-117.117529,34.029739
3633 Highway Ave,Highland,IN,46322,"3633 Highway Ave, Highland, IN 46322",1440.0,1948.0,1.5,5.0,7250.0,Single Family,-87.440627,41.555792
9 Delmont St,Manchester,CT,6042,"9 Delmont St, Manchester, CT 06042",0.0,0.0,0.0,0.0,0.0,Unknown,-72.522843,41.784502
1433 Crest View Cir,Morristown,TN,37814,"1433 Crest View Cir, Morristown, TN 37814",1236.0,1985.0,3.0,0.0,32670.0,Single Family,-83.381775,36.205897
307 E Niles Ave,Fresno,CA,93720,"307 E Niles Ave, Fresno, CA 93720",1481.0,1983.0,2.0,3.0,6000.0,Single Family,-119.778144,36.854641
797 Alcott Ave,Pomona,CA,91766,"797 Alcott Ave, Pomona, CA 91766",948.0,1953.0,1.0,2.0,6809.0,Single Family,-117.740856,34.043114
1579 Woodside Dr,Fircrest,WA,98466,"1579 Woodside Dr, Fircrest, WA 98466",1282.0,1994.0,1.0,2.0,9272.0,Single Family,-122.521411,47.217737
1302 Nw Lawton Ave,Lawton,OK,73507,"1302 Nw Lawton Ave, Lawton, OK 73507",0.0,0.0,0.0,0.0,0.0,Unknown,-98.408356,34.624286
1121 Kinnett Rd,Covington,GA,30016,"1121 Kinnett Rd, Covington, GA 30016",1344.0,1986.0,1.0,3.0,158558.0,Single Family,-84.008877,33.55919
2461 Manzana Way,San Diego,CA,92139,"2461 Manzana Way, San Diego, CA 92139",1327.0,1986.0,2.5,3.0,7803.0,Single Family,-117.025876,32.694569
2502 W 18th St,Houston,TX,77008,"2502 W 18th St, Apt 196, Houston, TX 77008",0.0,0.0,0.0,0.0,0.0,Unknown,-95.444033,29.801503
13522 Hyperion Hills Ln,Charlotte,NC,28278,"13522 Hyperion Hills Ln, Charlotte, NC 28278",3629.0,2017.0,3.5,5.0,15987.0,Single Family,-81.015533,35.070659
5601 Smetana Dr,Minnetonka,MN,55343,"5601 Smetana Dr, Unit 604, Minnetonka, MN 55343",1468.0,0.0,2.0,2.0,0.0,Condo,-93.402894,44.9016
7417 67th St NE,Marysville,WA,98270,"7417 67th St NE, Marysville, WA 98270",1750.0,1995.0,2.5,4.0,10019.0,Single Family,-122.129811,48.056134
634 Willow Ave,La Puente,CA,91746,"634 Willow Ave, La Puente, CA 91746",1435.0,1959.0,2.0,3.0,6278.0,Single Family,-117.976527,34.048259
1229 Kayton Ave,San Antonio,TX,78210,"1229 Kayton Ave, San Antonio, TX 78210",0.0,0.0,0.0,0.0,0.0,Unknown,-98.449133,29.397408
2510 N Mcvay Dr,Mobile,AL,36605,"2510 N Mcvay Dr, Mobile, AL 36605",0.0,0.0,0.0,0.0,0.0,Unknown,-88.102258,30.645409
229 Avenida Majorca Unit A,Laguna Woods,CA,92637,"229 Avenida Majorca Unit A, Laguna Woods, CA 92637",1400.0,0.0,2.0,2.0,0.0,Condo,-117.708775,33.602721
241 W Ivy St,New Haven,CT,6511,"241 W Ivy St, Apt 3C, New Haven, CT 06511",0.0,0.0,0.0,0.0,0.0,Unknown,-72.936185,41.330867
118 S Harrisburg Ave Apt A,Gas City,IN,46933,"118 S Harrisburg Ave Apt A, Gas City, IN 46933",0.0,0.0,0.0,0.0,0.0,Unknown,-85.619134,40.487261
1606 Saddlecreek Rd,Auburn,GA,30011,"1606 Saddlecreek Rd, Unit 4, Auburn, GA 30011",1230.0,0.0,2.0,3.0,0.0,Single Family,-83.85296,34.040044
95 Archambault Ave,West Warwick,RI,2893,"95 Archambault Ave, Apt 201, West Warwick, RI 02893",0.0,0.0,0.0,0.0,0.0,Unknown,-71.526155,41.703865
1103 Navajo Cir,Carrollton,TX,75007,"1103 Navajo Cir, Carrollton, TX 75007",1698.0,1985.0,2.0,3.0,8398.0,Single Family,-96.917014,33.010169
1311 E Pierce St,Wakefield,MI,49968,"1311 E Pierce St, Wakefield, MI 49968",835.0,0.0,1.0,0.0,7405.0,Single Family,-89.928983,46.473868
2212 State Hwy,Port Aransas,TX,78373,"2212 State Hwy, 361 Unit 219, Port Aransas, TX 78373",1272.0,2013.0,0.0,0.0,4008.0,Condo,-97.076825,27.816353
2702 E,Torrington,WY,82240,"2702 E, Torrington, WY 82240",0.0,0.0,0.0,0.0,0.0,Land,-104.178095,42.071274
255 W Fallen Leaf Cir,Wasilla,AK,99654,"255 W Fallen Leaf Cir, Wasilla, AK 99654",1847.0,2003.0,2.0,3.0,13504.0,Single Family,-149.453913,61.570299
2545 Champa St,Denver,CO,80205,"2545 Champa St, Apt 6, Denver, CO 80205",356.0,0.0,1.0,0.0,0.0,Apartment,-104.982454,39.755766
784 Gold Finch Way,Lake Charles,LA,70611,"784 Gold Finch Way, Lake Charles, LA 70611",1775.0,0.0,2.0,4.0,0.0,Single Family,-93.17943,30.31267
6340 Lanning Ln,Las Vegas,NV,89108,"6340 Lanning Ln, Las Vegas, NV 89108",1605.0,1979.0,2.0,3.0,7405.0,Single Family,-115.232829,36.193494
3405 Greenview Dr,Garland,TX,75044,"3405 Greenview Dr, Garland, TX 75044",2638.0,1983.0,2.0,4.0,10750.0,Single Family,-96.681309,32.942607
1897 E 51st St,Brooklyn,NY,11234,"1897 E 51st St, Brooklyn, NY 11234",1638.0,1960.0,0.0,0.0,2000.0,Duplex-Triplex,-73.925032,40.613863
6887 W Ridgeline Rd,Peoria,AZ,85383,"6887 W Ridgeline Rd, Peoria, AZ 85383",2352.0,2007.0,3.0,0.0,5509.0,Single Family,-112.206244,33.748699
3930 Calgary Ave,San Diego,CA,92122,"3930 Calgary Ave, San Diego, CA 92122",2411.0,1970.0,2.5,4.0,12400.0,Single Family,-117.204713,32.858503999999996
1802 Fernwood Rd,Lake Como,NJ,7719,"1802 Fernwood Rd, Lake Como, NJ 07719",0.0,0.0,5.0,10.0,0.0,Apartment,-74.026675,40.170742
177 Rosewood Dr,Tajique,NM,87016,"177 Rosewood Dr, Tajique, NM 87016",0.0,0.0,0.0,0.0,446926.0,Land,-106.269494,34.751831
807 Greensport Rd,Ashville,AL,35953,"807 Greensport Rd, Ashville, AL 35953",3141.0,1978.0,0.0,0.0,104108.0,Single Family,-86.246977,33.823393
1002 E 25th Street Rd,Greeley,CO,80631,"1002 E 25th Street Rd, Greeley, CO 80631",1552.0,2003.0,2.0,4.0,6273.0,Single Family,-104.664311,40.396368
13437 Corapeake Ter,Chesterfield,VA,23838,"13437 Corapeake Ter, Chesterfield, VA 23838",0.0,0.0,0.0,0.0,131116.0,Single Family,-77.640193,37.274409
3015 Woodbine St,Jackson,MS,39212,"3015 Woodbine St, Jackson, MS 39212",1169.0,1950.0,1.0,3.0,15462.0,Single Family,-90.229326,32.262662
1416 Carly Ct,San Diego,CA,92114,"1416 Carly Ct, San Diego, CA 92114",1484.0,1985.0,2.0,4.0,7097.0,Single Family,-117.047126,32.695396
425 Billings St,Elgin,IL,60123,"425 Billings St, Elgin, IL 60123",2088.0,1909.0,1.5,3.0,6600.0,Single Family,-88.284882,42.025457
7 Sellner Pl,Palm Coast,FL,32164,"7 Sellner Pl, Palm Coast, FL 32164",1846.0,2005.0,2.0,3.0,10149.0,Single Family,-81.169836,29.422343
4842 S Indiana Ave,Chicago,IL,60615,"4842 S Indiana Ave, Apt 2W, Chicago, IL 60615",0.0,0.0,0.0,0.0,0.0,Unknown,-87.621244,41.806169
25 Tony St,Drummonds,TN,38023,"25 Tony St, Drummonds, TN 38023",1568.0,1990.0,2.0,0.0,12395.0,Manufactured,-89.892705,35.404159
1499 Multnoma Ave,Akron,OH,44305,"1499 Multnoma Ave, Akron, OH 44305",720.0,1943.0,1.0,2.0,5500.0,Single Family,-81.464849,41.081158
2400 Lake Ave,Pueblo,CO,81004,"2400 Lake Ave, Lot 4, Pueblo, CO 81004",0.0,0.0,0.0,0.0,0.0,Manufactured,-104.624794,38.226565
11303 Rossum Creek Dr,Humble,TX,77396,"11303 Rossum Creek Dr, Humble, TX 77396",2431.0,2018.0,2.5,4.0,10528.0,Single Family,-95.218369,29.942447
1005 44th St,Kenosha,WI,53140,"1005 44th St, Kenosha, WI 53140",1272.0,1898.0,2.0,5.0,4356.0,Single Family,-87.82461,42.595909
207 Harvest Blossom Rd,Millersville,MD,21108,"207 Harvest Blossom Rd, Millersville, MD 21108",2695.0,2019.0,3.5,4.0,4897.0,Single Family,-76.608414,39.121329
12405 Kingston Way,Dubuque,IA,52001,"12405 Kingston Way, Dubuque, IA 52001",4300.0,0.0,3.5,4.0,0.0,Single Family,-90.729263,42.532435
720 Woodcrest Ave,Brea,CA,92821,"720 Woodcrest Ave, Brea, CA 92821",2415.0,1994.0,3.0,3.0,6050.0,Single Family,-117.906752,33.944338
3050 Rue Dorleans,San Diego,CA,92110,"3050 Rue Dorleans, Unit 341, San Diego, CA 92110",547.0,1969.0,1.0,1.0,357719.0,Condo,-117.227227,32.753405
6 Brennan Park,Amarillo,TX,79121,"6 Brennan Park, Amarillo, TX 79121",1634.0,2000.0,2.0,3.0,5663.0,Single Family,-101.923048,35.174568
2469 E 99th Way,Thornton,CO,80229,"2469 E 99th Way, Thornton, CO 80229",982.0,1976.0,2.0,3.0,9583.0,Single Family,-104.957449,39.87747
310 E Monmouth St,Winston Salem,NC,27127,"310 E Monmouth St, Winston Salem, NC 27127",768.0,1963.0,1.0,3.0,4792.0,Single Family,-80.233613,36.070232
208 N Swarthmore Ave,Ventnor,NJ,8406,"208 N Swarthmore Ave, Ventnor, NJ 08406",0.0,0.0,2.0,4.0,0.0,Single Family,-74.494184,39.336753
74240 Mercury Cir W,Palm Desert,CA,92260,"74240 Mercury Cir W, Palm Desert, CA 92260",1440.0,1977.0,2.0,2.0,4356.0,Manufactured,-116.369782,33.741365
2672 Towamencin Ave,Hatfield,PA,19440,"2672 Towamencin Ave, Hatfield, PA 19440",1188.0,1987.0,1.5,2.0,7363.0,Single Family,-75.309494,40.277267
5116 Remington Ct NW,Lilburn,GA,30047,"5116 Remington Ct NW, Lilburn, GA 30047",1421.0,1978.0,2.0,3.0,19166.0,Single Family,-84.147431,33.885163
2155 Black Oak Ln,Ellenwood,GA,30294,"2155 Black Oak Ln, Ellenwood, GA 30294",2205.0,2005.0,2.5,3.0,8364.0,Single Family,-84.298849,33.648684
4331 Ver S Shmkr Blvd,Fort Myers,FL,33916,"4331 Ver S Shmkr Blvd, Ste 7, Fort Myers, FL 33916",0.0,0.0,0.0,0.0,0.0,Unknown,-81.836481,26.638257
45-705 Kamehameha Hwy,Kaneohe,HI,96744,"45-705 Kamehameha Hwy, Apt 111, Kaneohe, HI 96744",0.0,0.0,0.0,0.0,0.0,Unknown,-157.799232,21.406563
1836 Aspen Ln,Weston,FL,33327,"1836 Aspen Ln, Weston, FL 33327",2672.0,2000.0,3.0,5.0,6080.0,Single Family,-80.424334,26.128067
7135 Collins Ave,Miami Beach,FL,33141,"7135 Collins Ave, Apt 1013, Miami Beach, FL 33141",912.0,1970.0,2.0,1.0,0.0,Condo,-80.119942,25.856663
5146 Pontiac Trl,Ann Arbor,MI,48105,"5146 Pontiac Trl, Ann Arbor, MI 48105",1296.0,1971.0,1.0,3.0,43560.0,Single Family,-83.698015,42.347036
4030 Hicone Rd,Greensboro,NC,27405,"4030 Hicone Rd, Greensboro, NC 27405",0.0,0.0,0.0,0.0,69696.0,Vacant,-79.734991,36.150196
14007 Long Meadow Dr,Houston,TX,77047,"14007 Long Meadow Dr, Houston, TX 77047",2689.0,2012.0,2.5,4.0,5001.0,Single Family,-95.364448,29.606019
13212 Hawthorn Ln,Woodbridge,VA,22193,"13212 Hawthorn Ln, Woodbridge, VA 22193",960.0,1971.0,1.0,3.0,8329.0,Single Family,-77.33404,38.66487
